Exponential Growth Simulation:
Week | Date (Monday) | Amount
----------------------------------------
 0 | 2026-01-05 Monday | $3.00
 1 | 2026-01-12 Monday | $3.75
 2 | 2026-01-19 Monday | $4.69
 3 | 2026-01-26 Monday | $5.86
 4 | 2026-02-02 Monday | $7.32
 5 | 2026-02-09 Monday | $9.16
 6 | 2026-02-16 Monday | $11.44
 7 | 2026-02-23 Monday | $14.31
 8 | 2026-03-02 Monday | $17.88
 9 | 2026-03-09 Monday | $22.35
10 | 2026-03-16 Monday | $27.94
11 | 2026-03-23 Monday | $34.92
12 | 2026-03-30 Monday | $43.66
13 | 2026-04-06 Monday | $54.57
14 | 2026-04-13 Monday | $68.21
15 | 2026-04-20 Monday | $85.27
16 | 2026-04-27 Monday | $106.58
17 | 2026-05-04 Monday | $133.23
18 | 2026-05-11 Monday | $166.53
19 | 2026-05-18 Monday | $208.17
20 | 2026-05-25 Monday | $260.21
21 | 2026-06-01 Monday | $325.26
22 | 2026-06-08 Monday | $406.58
23 | 2026-06-15 Monday | $508.22
24 | 2026-06-22 Monday | $635.27
25 | 2026-06-29 Monday | $794.09
26 | 2026-07-06 Monday | $992.62
27 | 2026-07-13 Monday | $1,240.77
28 | 2026-07-20 Monday | $1,550.96
29 | 2026-07-27 Monday | $1,938.70
30 | 2026-08-03 Monday | $2,423.38
31 | 2026-08-10 Monday | $3,029.23
32 | 2026-08-17 Monday | $3,786.53
33 | 2026-08-24 Monday | $4,733.17
34 | 2026-08-31 Monday | $5,916.46
35 | 2026-09-07 Monday | $7,395.57
36 | 2026-09-14 Monday | $9,244.46
37 | 2026-09-21 Monday | $11,555.58
38 | 2026-09-28 Monday | $14,444.47
39 | 2026-10-05 Monday | $18,055.59
40 | 2026-10-12 Monday | $22,569.49
41 | 2026-10-19 Monday | $28,211.86
42 | 2026-10-26 Monday | $35,264.83
43 | 2026-11-02 Monday | $44,081.04
44 | 2026-11-09 Monday | $55,101.30
45 | 2026-11-16 Monday | $68,876.62
46 | 2026-11-23 Monday | $86,095.78
47 | 2026-11-30 Monday | $107,619.72
48 | 2026-12-07 Monday | $134,524.65
49 | 2026-12-14 Monday | $168,155.82
50 | 2026-12-21 Monday | $210,194.77
51 | 2026-12-28 Monday | $262,743.46
52 | 2027-01-04 Monday | $328,429.33

Initial amount: $3.00
Final amount after 52 weeks: $328,429.33
